ac,ashd,2,2,30
ac,bkl,12,12,30
acdg,brusz,240,240,0
acdg,marne,22,22,0
acdg,valtgv,483,483,0
ah,ahp,1,1,30
ah,ahz,8,8,30
ah,otb,4,4,30
ahbf,are,3,3,0
ahbf,asch,1,1,0
ahp,ah,1,1,30
ahp,ahpr,2,2,30
ahp,wtv,4,4,30
ahpr,ahp,2,2,30
ahpr,vp,3,3,30
ahz,ah,8,8,30
ahz,est,3,3,30
aime,landry,7,7,0
aime,mout,13,13,0
aixtgv,avtgv,67,67,0
aixtgv,mars,18,18,0
akl,gr,5,5,30
akl,ldm,7,7,30
akm,gw,5,5,30
akm,hr,11,11,30
albert,chamb,38,38,0
albert,mout,23,23,0
alm,almm,0,0,30
alm,almp,2,2,30
almb,almo,2,2,30
almb,almp,4,4,30
almm,alm,0,0,30
almm,ampo,3,3,30
almo,almb,2,2,30
almo,lls,16,16,30
almp,alm,2,2,30
almp,almb,4,4,30
amf,amfs,3,3,30
amf,brn,9,9,30
amf,dld,9,9,30
amf,hvl,7,7,30
amfs,amf,3,3,30
amfs,avat,3,3,30
aml,amri,2,2,30
aml,vz,6,6,30
aml,wdn,5,5,30
ampo,almm,3,3,30
ampo,ndb,7,7,30
ampo,wp,9,9,30
amr,amrn,0,0,30
amr,hlo,5,5,30
amri,aml,2,2,30
amri,bn,7,7,30
amrn,amr,0,0,30
amrn,hwd,7,7,30
amst,linz,48,48,0
amst,polten,57,57,0
ana,hdrz,12,12,30
ana,sgn,9,9,30
andd,atwlb,5,5,0
andd,lkr,6,6,0
apd,apdm,1,1,30
apd,apdo,3,3,30
apd,hvl,35,35,30
apdm,apd,1,1,30
apdm,kbk,8,8,30
apdo,apd,3,3,30
apdo,twl,7,7,30
apg,dzw,3,3,30
apg,lp,8,8,30
apn,bdg,8,8,30
apn,bsk,6,6,30
apn,ldl,15,15,30
are,ahbf,3,3,0
are,edf,1,1,0
arn,gs,15,15,30
arn,mdb,4,4,30
asa,asdm,2,2,30
asa,dvd,2,2,30
asb,ashd,1,1,30
asb,dvd,2,2,30
asb,rai,6,6,30
asch,ahbf,1,1,0
asch,aw,1,1,0
asd,asdm,4,4,30
asd,ass,4,4,30
asdl,ass,3,3,30
asdl,shl,12,12,30
asdl,zd,9,9,30
asdm,asa,2,2,30
asdm,asd,4,4,30
asdm,assp,1,1,30
asdz,rai,0,0,30
asdz,shl,11,11,30
ashd,ac,2,2,30
ashd,asb,1,1,30
ashfd,ebbs,51,51,0
ashfd,lillee,165,165,0
asn,bl,16,16,30
asn,hrn,22,22,30
ass,asd,4,4,30
ass,asdl,3,3,30
ass,hwzb,7,7,30
ass,zd,6,6,30
assp,asdm,1,1,30
assp,dmn,2,2,30
atn,vsv,9,9,30
atn,ww,12,12,30
atw,atwlb,4,4,0
atw,berch,4,4,0
atwlb,andd,5,5,0
atwlb,atw,4,4,0
atwlb,ndkp,19,19,0
avat,amfs,3,3,30
avat,nkk,5,5,30
avtgv,aixtgv,67,67,0
avtgv,valtgv,110,110,0
aw,asch,1,1,0
aw,kohl,6,6,0
badenz,basels,55,55,0
badenz,zue,21,21,0
badsch,decin,16,16,0
badsch,dresd,47,47,0
baselb,basels,3,3,0
baselb,rf,51,51,0
basels,badenz,55,55,0
basels,baselb,3,3,0
bd,bdpb,5,5,30
bd,etn,11,11,30
bd,gz,10,10,30
bd,ndkp,28,28,0
bde,bk,7,7,30
bde,mt,6,6,30
bdg,apn,8,8,30
bdg,wd,11,11,30
bdm,stm,7,7,30
bdm,swd,4,4,30
bdpb,bd,5,5,30
bdpb,rlb,31,31,30
bdpb,zlw,10,10,30
berch,atw,4,4,0
